time,dl_lw1,dl_lw2,dl_lw3,dl_lw4
2025-04-20 22:39:47.939615,6.33,0,0,0
2025-04-20 22:39:48.926765,11.79,0,0,0
2025-04-20 22:39:49.892025,18.12,0,0,0
2025-04-20 22:39:50.895097,24.44,0,0,0
2025-04-20 22:39:51.933969,30.77,0,0,0
2025-04-20 22:39:52.899879,37.1,0,0,0
2025-04-20 22:39:53.907410,43.43,0,0,0
2025-04-20 22:39:54.916967,48.89,0,0,0
2025-04-20 22:39:55.961173,56.06,0,0,0
2025-04-20 22:39:56.897711,61.52,0,0,0
2025-04-20 22:39:57.894706,69.29,0,0,0
2025-04-20 22:39:58.937213,77.06,0,0,0
2025-04-20 22:39:59.904333,84.83,0,0,0
2025-04-20 22:40:00.901232,92.6,0,0,0
2025-04-20 22:40:01.959907,100.37,0,0,0
2025-04-20 22:40:02.901592,108.14,0,0,0
2025-04-20 22:40:03.902083,115.91,0,0,0
2025-04-20 22:40:04.898436,123.68,0,0,0
2025-04-20 22:40:05.940725,131.45,0,0,0
2025-04-20 22:40:06.899736,139.22,0,0,0
2025-04-20 22:40:07.921199,146.99,0,0,0
2025-04-20 22:40:08.892469,154.76,0,0,0
2025-04-20 22:40:09.913398,162.53,0,0,0
2025-04-20 22:40:10.898650,170.3,0,0,0
2025-04-20 22:40:11.903340,178.07,0,0,0
2025-04-20 22:40:12.910574,185.84,0,0,0
2025-04-20 22:40:13.893390,193.61,0,0,0
2025-04-20 22:40:14.900591,201.38,0,0,0
2025-04-20 22:40:15.910145,209.15,0,0,0
2025-04-20 22:40:16.929776,216.92,0,0,0
2025-04-20 22:40:17.948088,224.69,0,0,0
2025-04-20 22:40:18.916883,232.46,0,0,0
2025-04-20 22:40:19.915043,240.23,0,0,0
2025-04-20 22:40:20.924499,248,0,0,0
2025-04-20 22:40:21.925384,255.77,0,0,0
2025-04-20 22:40:22.924613,263.54,0,0,0
2025-04-20 22:40:23.917715,271.31,0,0,0
2025-04-20 22:40:24.929456,279.08,0,0,0
2025-04-20 22:40:25.913718,286.85,0,0,0
