time,snr_lw1,snr_lw2,snr_lw3,snr_lw4
2025-04-20 22:39:46.940801,20.785908,0.251158,2.200996,-1.853344
2025-04-20 22:39:47.940047,18.618828,-0.153267,0.883062,-2.217747
2025-04-20 22:39:48.927076,20.584835,0.539923,1.065952,-3.634647
2025-04-20 22:39:49.892195,19.612209,0.426538,0.590597,-3.947479
2025-04-20 22:39:50.895147,19.894054,1.568878,0.23958,-2.082146
2025-04-20 22:39:51.934554,19.582317,1.822599,0.580318,-2.464426
2025-04-20 22:39:52.900029,20.316166,-0.100372,1.464115,-3.041719
2025-04-20 22:39:53.907712,18.208958,0.751837,-0.516167,-3.070143
2025-04-20 22:39:54.917317,22.589905,-2.236912,0.974113,-2.396023
2025-04-20 22:39:55.961315,17.400871,0.092609,0.702593,-0.762566
2025-04-20 22:39:56.898401,22.934566,1.389101,-0.506651,-0.356503
2025-04-20 22:39:57.894833,23.529118,-0.652925,1.072977,-2.281677
2025-04-20 22:39:58.937435,25.336987,-0.788633,0.048098,-2.176949
2025-04-20 22:39:59.904710,27.755318,0.108143,0.250965,-0.331776
2025-04-20 22:40:00.901941,27.842102,1.39879,1.379072,-0.929335
2025-04-20 22:40:01.960703,26.776119,0.749531,0.2253,-2.675264
2025-04-20 22:40:02.902233,29.241928,-0.136541,-0.292847,-1.323286
2025-04-20 22:40:03.902361,26.561794,-0.591175,1.067322,-1.775871
2025-04-20 22:40:04.898546,26.95715,0.123087,-1.132856,-2.596001
2025-04-20 22:40:05.940994,28.606537,-0.162134,-0.647205,-3.879547
2025-04-20 22:40:06.900350,28.359734,1.265675,-0.252649,-2.263149
2025-04-20 22:40:07.921490,27.659397,-19.591923,0.368799,-2.42671
2025-04-20 22:40:08.892856,26.92062,1.821363,0.305023,-2.460209
2025-04-20 22:40:09.913517,27.265591,-2.425289,-5.418518,-3.114733
2025-04-20 22:40:10.898957,27.495346,0.219055,-0.665699,-2.099981
2025-04-20 22:40:11.903424,28.099102,2.217442,-0.292063,-0.799526
2025-04-20 22:40:12.910614,28.416473,1.457436,-0.911484,-1.802633
2025-04-20 22:40:13.893574,27.326626,1.100079,0.223854,-1.7274
2025-04-20 22:40:14.901206,29.182503,0.18228,0.39801,-1.766182
2025-04-20 22:40:15.910508,28.199081,1.745399,0.004475,-1.075281
2025-04-20 22:40:16.929808,28.100803,-0.532282,0.299862,-0.716797
2025-04-20 22:40:17.948785,29.251461,0.224487,-0.961805,-2.009541
2025-04-20 22:40:18.917087,28.434116,-0.210405,0.660593,-1.744778
2025-04-20 22:40:19.915181,28.786789,1.488108,0.352682,-6.2705
2025-04-20 22:40:20.925075,26.926796,2.346981,-2.301203,-1.529966
2025-04-20 22:40:21.925662,28.365746,0.65719,-0.235262,-2.265169
2025-04-20 22:40:22.924773,28.401867,-0.506964,1.023855,-2.443186
2025-04-20 22:40:23.918036,27.289822,0.562206,1.728046,-1.209965
2025-04-20 22:40:24.929641,26.261238,1.269205,-1.171194,-0.771368
2025-04-20 22:40:25.913795,20.048378,0.921547,-1.711451,0.177277
2025-04-20 22:40:26.922223,23.893433,2.05999,-1.253675,-0.510021
2025-04-20 22:40:27.955513,21.45454,1.192806,-0.209326,-1.071449
2025-04-20 22:40:28.917375,19.744987,1.826601,-0.134138,-1.631445
2025-04-20 22:40:29.922538,19.399921,2.263008,0.463856,-0.238258
2025-04-20 22:40:30.944871,16.873089,1.542387,-1.016901,-0.359554
2025-04-20 22:40:31.918106,16.197262,1.434782,0.858913,-1.448071
2025-04-20 22:40:32.936989,17.148262,1.52478,-0.959242,-0.94059
2025-04-20 22:40:33.917068,14.379372,2.413971,-0.404032,0.040159
2025-04-20 22:40:34.917695,12.769737,2.597015,-0.332975,-0.810917
2025-04-20 22:40:35.925269,13.844639,2.042759,-1.26371,1.18799
2025-04-20 22:40:36.928391,13.871796,0.160727,-6.242952,-0.329285
2025-04-20 22:40:37.989146,11.57856,1.297142,-0.823704,-1.386082
2025-04-20 22:40:38.936519,12.956429,1.863594,-1.59136,-1.063356
2025-04-20 22:40:39.919865,10.792461,1.308435,-1.468388,0.942955
2025-04-20 22:40:40.967786,10.538445,1.419905,-0.810972,0.298595
2025-04-20 22:40:41.947925,10.006477,1.192249,-1.62916,0.178862
2025-04-20 22:40:42.944697,10.255016,2.315987,-2.319315,-0.649929
2025-04-20 22:40:43.949537,10.457947,3.976646,-11.435173,-0.555792
2025-04-20 22:40:44.927524,8.52808,1.571611,-2.018957,0.63456
2025-04-20 22:40:45.935163,8.143604,2.911793,-3.064135,-1.65242
2025-04-20 22:40:46.935176,8.928505,3.193436,-2.03653,1.194931
2025-04-20 22:40:47.977291,8.216656,2.811829,-4.903889,1.074005
2025-04-20 22:40:48.925560,9.647373,3.319126,-2.128857,0.962826
2025-04-20 22:40:49.955094,7.035313,3.288185,-3.813616,1.577951
2025-04-20 22:40:51.007702,7.437679,2.268002,-3.884857,1.077728
2025-04-20 22:40:51.930014,7.185154,4.29287,-1.807957,0.724241
2025-04-20 22:40:52.929822,7.689922,1.738165,-3.395048,1.162424
2025-04-20 22:40:53.926257,6.762348,4.92152,-4.179493,2.138824
2025-04-20 22:40:54.940638,6.587357,2.119606,-2.824816,1.797949
2025-04-20 22:40:55.932066,4.975822,3.559402,-3.332602,1.53422
2025-04-20 22:40:56.932004,5.037224,3.17691,-3.371302,3.145393
2025-04-20 22:40:57.949592,4.12883,3.651958,-3.009842,2.397949
2025-04-20 22:40:58.942042,4.300228,2.766827,-2.892275,4.356865
