num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,time,GPSFix,NumberOfSatellites
1,-78.6962748,35.7271224,-0.017,0.0010471546556800604,-0.020790303125977516,0.0012998738093301654,-0.02,0.02,0.0,12.587,2025-04-20 22:39:19.125496,6,10
2,-78.6962748,35.7271224,-0.017,0.0012171969283372164,-0.02005309984087944,0.0014814649475738406,0.0,0.0,0.0,12.587,2025-04-20 22:39:20.125889,6,10
3,-78.6962748,35.7271224,-0.017,0.0013710155617445707,-0.019304782152175903,0.0016431771218776703,-0.01,0.01,0.0,12.587,2025-04-20 22:39:21.126944,6,10
4,-78.6962748,35.7271224,-0.017,0.0013601869577541947,-0.018565747886896133,0.0016085074748843908,-0.01,0.01,0.0,12.587,2025-04-20 22:39:22.128078,6,10
5,-78.6962747,35.7271223,-0.017,0.0012219611089676619,-0.01787402294576168,0.0014616608386859298,-0.01,0.01,0.0,12.587,2025-04-20 22:39:23.129973,6,10
6,-78.6962747,35.7271223,-0.017,0.0010460588382557034,-0.01723433844745159,0.001291212858632207,-0.01,0.01,0.0,12.587,2025-04-20 22:39:24.130743,6,10
7,-78.6962747,35.7271223,-0.017,0.0009396399836987257,-0.016659623011946678,0.0011758285108953714,-0.01,0.01,0.0,12.587,2025-04-20 22:39:25.131888,6,10
8,-78.6962747,35.7271223,-0.017,0.000885305751580745,-0.016097407788038254,0.0011135238455608487,-0.01,0.01,0.0,12.587,2025-04-20 22:39:26.132789,6,10
9,-78.6962747,35.7271223,-0.017,0.0008601710433140397,-0.015559595078229904,0.0010911418357864022,-0.01,0.01,0.0,12.587,2025-04-20 22:39:27.133922,6,10
10,-78.6962747,35.7271223,-0.017,0.0008702918421477079,-0.015040323138237,0.0011009053559973836,-0.01,0.01,0.0,12.587,2025-04-20 22:39:28.134206,6,10
11,-78.6962747,35.7271223,0.002,0.0008897915831767023,-0.014534599147737026,0.0011112052015960217,-0.01,0.01,0.0,12.587,2025-04-20 22:39:29.134602,6,10
12,-78.6962747,35.7271223,0.002,0.0009509574738331139,-0.014041290618479252,0.0011864983243867755,0.0,0.0,0.0,12.587,2025-04-20 22:39:30.135761,6,10
13,-78.6962747,35.7271223,0.002,0.0011867807479575276,-0.013548118062317371,0.001410246011801064,0.0,0.0,0.0,12.587,2025-04-20 22:39:31.137007,6,10
14,-78.6962747,35.7271223,0.002,0.0014486766885966063,-0.013016223907470703,0.0016760296421125531,0.0,0.0,0.0,12.587,2025-04-20 22:39:32.138843,6,10
15,-78.6962747,35.7271223,0.002,0.0017290968680754304,-0.012452586553990841,0.0019828330259770155,0.0,0.0,0.0,12.587,2025-04-20 22:39:33.139411,6,10
16,-78.6962747,35.7271223,0.004,0.0020304571371525526,-0.011873899959027767,0.0022753842640668154,0.0,0.0,-0.05,12.587,2025-04-20 22:39:34.139836,6,10
17,-78.6962747,35.7271223,0.56,-0.0013762294547632337,-0.011650891043245792,-0.0014352691359817982,0.0,0.0,-1.17,12.587,2025-04-20 22:39:35.140960,6,10
18,-78.6962749,35.7271224,2.11,0.0025820995215326548,-0.012322187423706055,0.002834812505170703,0.0,0.0,-1.99,12.587,2025-04-20 22:39:36.142460,6,10
19,-78.696275,35.7271225,4.535,0.00327098835259676,0.0022635594941675663,0.0036043424624949694,-0.01,0.01,-2.51,12.587,2025-04-20 22:39:37.142806,6,10
20,-78.696275,35.7271225,7.07,0.003548266598954797,0.002337669488042593,0.004186062142252922,-0.01,0.01,-2.42,12.587,2025-04-20 22:39:38.143505,6,10
